rank,title,link,score,comments
1,Hormuz Minesweeper – Are you tired of winning?,https://hormuz.pythonic.ninja/,266 points,96
2,Flash-Moe: Running a 397B Parameter Model on a Mac with 48GB RAM,https://github.com/danveloper/flash-moe,30 points,4
3,25 Years of Eggs,https://www.john-rush.com/posts/eggs-25-years-20260219.html,67 points,20
4,The three pillars of JavaScript bloat,https://43081j.com/2026/03/three-pillars-of-javascript-bloat,352 points,184
5,We Synchronized Editing for Rec Room's Multiplayer Scripting System,https://www.tyleo.com/blog/how-we-synchronized-editing-for-rec-rooms-multiplayer-scripting-system,3 points,0
6,My first patch to the Linux kernel,https://pooladkhay.com/posts/first-kernel-patch/,133 points,18
7,Tinybox – A powerful computer for deep learning,https://tinygrad.org/#tinybox,516 points,293
8,Some things just take time,https://lucumr.pocoo.org/2026/3/20/some-things-just-take-time/,739 points,235
9,Cross-Model Void Convergence: GPT-5.2 and Claude Opus 4.6 Deterministic Silence,https://zenodo.org/records/18976656,33 points,20
10,'Miracle': Europe reconnects with lost spacecraft,https://phys.org/news/2026-03-miracle-europe-reconnects-lost-spacecraft.html,40 points,13
11,Chest Fridge (2009),https://mtbest.net/chest-fridge/,129 points,74
12,"Professional video editing, right in the browser with WebGPU and WASM",https://tooscut.app/,291 points,102
13,"Node.js worker threads are problematic, but they work great for us",https://www.inngest.com/blog/node-worker-threads,3 points,0
14,"Floci – A free, open-source local AWS emulator",https://github.com/hectorvent/floci,215 points,62
15,Boomloom: Think with your hands,https://www.theboomloom.com,137 points,14
16,"Electronics for Kids, 2nd Edition",https://nostarch.com/electronics-for-kids-2e,206 points,45
17,Bayesian statistics for confused data scientists,https://nchagnet.pages.dev/blog/bayesian-statistics-for-confused-data-scientists/,135 points,36
18,"HopTab–free,open source macOS app switcher and tiler that replaces Cmd+Tab",https://www.royalbhati.com/hoptab,40 points,18
19,Sashiko: An agentic Linux kernel code review system,https://sashiko.dev/,34 points,3
20,Hide macOS Tahoe's Menu Icons,https://512pixels.net/2026/03/hide-macos-tahoes-menu-icons-with-this-one-simple-trick/,230 points,87
21,"Show HN: Time Keep – Location timezones, timers, alarms, countdowns in one place",item?id=47445433,15 points,6
22,Show HN: Oku – One tab to filter out noise from feeds and content sources,https://oku.io,8 points,1
23,"Grafeo – A fast, lean, embeddable graph database built in Rust",https://grafeo.dev/,228 points,79
24,Do Not Turn Child Protection into Internet Access Control,https://news.dyne.org/child-protection-is-not-access-control/,731 points,373
25,It's Their Mona Lisa,https://ironicsans.ghost.io/its-t-mona-lisa/,36 points,14
26,Alpha Micro AM-1000E and AM-1200,http://oldvcr.blogspot.com/2026/03/refurb-weekend-double-header-alpha.html,21 points,5
27,"Thinking Fast, Slow, and Artificial: How AI Is Reshaping Human Reasoning",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6097646,164 points,93
28,Linking Smaller Haskell Binaries (2023),https://brandon.si/code/linking-smaller-haskell-binaries/,12 points,2
29,Training Center for Maneuvering on Manned Model Ships,https://www.portrevel.com/,17 points,6
30,Vatican Rebukes Peter Thiel's Antichrist Lectures in Rome,https://www.thenerdreich.com/peter-thiels-antichrist-circus-smacked-down-in-rome/,18 points,10
